"geoRegion","datum","entries","sumTotal","timeframe_7d","offset_last7d","sumTotal_last7d","timeframe_14d","offset_last14d","sumTotal_last14d","timeframe_28d","offset_last28d","sumTotal_last28d","timeframe_phase2","offset_Phase2","sumTotal_Phase2","sum7d","sum14d","mean7d","mean14d","timeframe_all","entries_diff_last_age","pop","inz_entries","inzmean7d","inzmean14d","inzsumTotal","inzsumTotal_last7d","inzsumTotal_last14d","inzsumTotal_last28d","inzsumTotal_Phase2","inzsum7d","inzsum14d","sumdelta7d","inzdelta7d","type","type_variant","version","datum_unit","entries_letzter_stand","entries_neu_gemeldet","entries_diff_last"
"CH",2020-02-24,1,1,FALSE,318728,0,FALSE,291884,0,FALSE,216478,0,FALSE,30940,0,NA,NA,NA,NA,TRUE,1,8606033,0.01,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Cases","","2020-12-04_07-52-46","day",1,0,4370
"CH",2020-02-25,1,2,FALSE,318728,0,FALSE,291884,0,FALSE,216478,0,FALSE,30940,0,NA,NA,NA,NA,TRUE,1,8606033,0.01,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Cases","","2020-12-04_07-52-46","day",1,0,4370
"CH",2020-02-26,10,12,FALSE,318728,0,FALSE,291884,0,FALSE,216478,0,FALSE,30940,0,NA,NA,NA,NA,TRUE,1,8606033,0.12,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Cases","","2020-12-04_07-52-46","day",10,0,4370
"CH",2020-02-27,10,22,FALSE,318728,0,FALSE,291884,0,FALSE,216478,0,FALSE,30940,0,NA,NA,8,NA,TRUE,1,8606033,0.12,0.09,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Cases","","2020-12-04_07-52-46","day",10,0,4370
"CH",2020-02-28,10,32,FALSE,318728,0,FALSE,291884,0,FALSE,216478,0,FALSE,30940,0,NA,NA,12.14,NA,TRUE,1,8606033,0.12,0.14,NA,0.37,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Cases","","2020-12-04_07-52-46","day",10,0,4370
"CH",2020-02-29,13,45,FALSE,318728,0,FALSE,291884,0,FALSE,216478,0,FALSE,30940,0,NA,NA,16.71,NA,TRUE,1,8606033,0.15,0.19,NA,0.52,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19Cases","","2020-12-04_07-52-46","day",13,0,4370
"CH",2020-03-01,11,56,FALSE,318728,0,FALSE,291884,0,FALSE,216478,0,FALSE,30940,0,56,NA,24,30.86,TRUE,1,8606033,0.13,0.28,0.36,0.65,NA,NA,NA,NA,0.65,NA,NA,NA,"COVID19Cases","","2020-12-04_07-52-46","day",11,0,4370
"CH",2020-03-02,30,86,FALSE,318728,0,FALSE,291884,0,FALSE,216478,0,FALSE,30940,0,85,NA,31.43,44.5,TRUE,1,8606033,0.35,0.37,0.52,1,NA,NA,NA,NA,0.99,NA,29,0.34,"COVID19Cases","","2020-12-04_07-52-46","day",30,0,4370
"CH",2020-03-03,33,119,FALSE,318728,0,FALSE,291884,0,FALSE,216478,0,FALSE,30940,0,117,NA,40.43,59.43,TRUE,1,8606033,0.38,0.47,0.69,1.38,NA,NA,NA,NA,1.36,NA,32,0.37,"COVID19Cases","","2020-12-04_07-52-46","day",33,0,4370
"CH",2020-03-04,61,180,FALSE,318728,0,FALSE,291884,0,FALSE,216478,0,FALSE,30940,0,168,NA,45.57,82.5,TRUE,1,8606033,0.71,0.53,0.96,2.09,NA,NA,NA,NA,1.95,NA,51,0.59,"COVID19Cases","","2020-12-04_07-52-46","day",61,0,4370
